method,target,feat_1,feat_2,p_value
t-SNE,priming,subject,emotion,1.0
t-SNE,priming,subject,priming,0.09776081458713277
t-SNE,priming,subject,predicted_label,5.980944502113327e-29
t-SNE,priming,emotion,subject,1.0
t-SNE,priming,emotion,priming,0.9694870934108036
t-SNE,priming,emotion,predicted_label,0.9691254418720745
t-SNE,priming,priming,subject,0.09776081458713277
t-SNE,priming,priming,emotion,0.9694870934108036
t-SNE,priming,priming,predicted_label,4.60754044887798e-19
t-SNE,priming,predicted_label,subject,5.980944502113155e-29
t-SNE,priming,predicted_label,emotion,0.9691254418720745
t-SNE,priming,predicted_label,priming,4.60754044887798e-19
